Device Name / IP,Device Type,Device Name,IP Address,Product Name,Serial Number,Mac Address,HW Ver.,SW Ver.,Capacity License,Location,Latitude,Longitude,Altitude
Rakops-HBS1-x,PTMP HBS,RAKOPS HBS1,192.168.248.79,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00147,001567534618,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,RAKOPS,51.47885,0.0106,
Megaleng-HBS2C-x,PTMP HBS,Megaleng-HBS2C-x,192.168.249.128,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0002A,0015674a4a0d,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,MEGALENG,-24.660597,25.911249,
Megaleng-HBS1A-x,PTMP HBS,Megaleng-HBS1A-x,192.168.249.129,RW5000/HBS/5200/F35/ETSI/EXT - RW-5200-2230,P07870E000A0003F,001567e4bf9e,9,4.1.60_b4172_Jul 26 2015, 260 Mbps,MEGALENG,-24.660597,25.911249,
Megaleng-GSU1,Sync Unit,Megaleng-GSU1,192.168.249.175,GSU/Sync/Unit - RW-9924-0070,P09270E700A002DA,0015675f3528,1,4.9.71_b0009_May  6 2019,,GABORONE MSU1,-24.660526,25.911056, 1089.4 m
Megaleng-HBS3-x,PTMP HBS,Megaleng-HBS3-x,192.168.249.176,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000D00238,0015676554e3,3,4.9.70_b0015_May  2 2019, 260 Mbps,GABORONE,-24.660716,25.91127, 1071.2 m
Megaleng-HBS1B-x,PTMP HBS,Megaleng-HBS1B-x,192.168.249.7,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03090E000A002DF,0015674b0417,6,4.1.60_b4170_Jun  2 2015, 107 Mbps,MEGALENG BTC,-24.660597,25.911249,
Megaleng-GSU2,Sync Unit Serial Only,Megaleng-GSU2,192.168.249.9,RW-9924-001X,E02700F000208,0015674a6e59,9,1.9.55_b1880_Jul  2 2012,,Megaleng-GSU2,-24.660585,25.910958, 1079.5 m
Mogobane-HBS1-x,PTMP HBS,Mogobane-HBS1-x,192.168.249.97,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00067,0015674a5c31,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,BTS Location,-24.959361,25.720311,
Phakalane-HBS1-x,PTMP HBS,BTC RLU9 SEC3,192.168.250.180,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000H00372,001567df6af2,3,4.9.75_b0052_Sep 19 2019, 260 Mbps,Phakalane,-24.56269,25.974691, 985.7 m
Phakalane-HBS3-x,PTMP HBS,BTCL RLU9 SEC1,192.168.250.196,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000D00255,001567655142,3,4.9.75_b0052_Sep 19 2019, 260 Mbps,PHAKALANE,-24.562748,25.974926, 1000.5 m
Phakalane-RLU9 GSU,Sync Unit,PHAKALANE-RLU9 GSU,192.168.250.197,GSU/Sync/Unit - RW-9924-0070,P09270E700A006A1,001567e5998e,1,4.9.71_b0009_May  6 2019,,RLU9,-24.562905,25.974711, 1018.2 m
Kasane_Plateau-HBS1-x,PTMP HBS,BTCL KASANE SEC1/4,192.168.250.26,RW5000/HBS-MS-PRO/5PG5/F54/UNI/128/INT - RW-5PG5-9154,P19580IG00000205,001567ee1f0c,411M,5.1.38_b0004_Jul 27 2022, 1500 Mbps,KASANE PLATEAU,-17.8011,25.1607, 1055.3 m
Kasane_Plateau-HBS3-x,PTMP HBS,BTCL PLATEAU SEC3,192.168.250.28,RW5000/HBS-Air/5AC5/F54/UNI/JET/INT - RW-5AC5-9654,C19980IC00H00101,001567ebfacb,7,4.9.90_b0006_May 10 2021, 500 Mbps,KASANE,-17.801258,25.160803, 1002.6 m
Kasane-HBS2-x,PTMP HBS,Kasane-HBS2-x,192.168.250.3,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00066,0015674a5c30,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,Kasane-HBS2,-17.796212,25.157351,
Kasane-GSU,Sync Unit Serial Only,Kasane-GSU,192.168.250.41,RW-9924-001X,E02700F0001EA,0015674a445f,9,1.9.40_b1864_Mar 21 2011,,Kasane-GSU,-17.796573,25.155643, 967.9 m
Ngoma-HBS1-x,PTMP HBS,Ngoma-HBS1-x,192.168.250.5,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00080,0015674a3a11,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Ngoma,-17.928986,24.725435,
